"PMID","AuthorN","AuthorForename","AuthorLastname","AuthorInitials","AuthorAffiliation"
25784560,1,"Maia","Cédola","M","Laboratory of Animal Viruses, Institute of Biotechnology and Molecular Biology, CCT-La Plata, CONICET-UNLP, 1900 La Plata, Buenos Aires, Argentina."
25784560,2,"Yosena","Chiani","Y","National Institute of Respiratory Diseases, ANLIS-UNL, Santa Fe, 3000 Santa Fe, Argentina."
25784560,3,"Gabriela","Pretre","G","Laboratory of Animal Viruses, Institute of Biotechnology and Molecular Biology, CCT-La Plata, CONICET-UNLP, 1900 La Plata, Buenos Aires, Argentina."
25784560,4,"Lucrecia","Alberdi","L","Laboratory of Animal Viruses, Institute of Biotechnology and Molecular Biology, CCT-La Plata, CONICET-UNLP, 1900 La Plata, Buenos Aires, Argentina."
25784560,5,"Bibiana","Vanasco","B","National Institute of Respiratory Diseases, ANLIS-UNL, Santa Fe, 3000 Santa Fe, Argentina."
25784560,6,"Ricardo M","Gómez","RM","Laboratory of Animal Viruses, Institute of Biotechnology and Molecular Biology, CCT-La Plata, CONICET-UNLP, 1900 La Plata, Buenos Aires, Argentina. Electronic address: rmg1426@gmail.com."
25801249,1,"S M","Suepaul","SM","School of Veterinary Medicine, Faculty of Medical Sciences, University of the West Indies, Trinidad."
25801249,2,"C","Carrington","C","School of Medicine, Faculty of Medical Sciences, University of the West Indies, St. Augustine, Trinidad and Tobago, West Indies."
25801249,3,"M","Campbell","M","School of Veterinary Medicine, Faculty of Medical Sciences, University of the West Indies, Trinidad."
25801249,4,"G","Borde","G","School of Veterinary Medicine, Faculty of Medical Sciences, University of the West Indies, Trinidad."
25801249,5,"A A","Adesiyun","AA","School of Veterinary Medicine, Faculty of Medical Sciences, University of the West Indies, Trinidad."
25802431,1,"Anna L","Okello","AL",""
25802431,2,"Stephanie","Burniston","S",""
25802431,3,"James V","Conlan","JV",""
25802431,4,"Phouth","Inthavong","P",""
25802431,5,"Boualam","Khamlome","B",""
25802431,6,"Susan C","Welburn","SC",""
25802431,7,"Jeffrey","Gilbert","J",""
25802431,8,"John","Allen","J",""
25802431,9,"Stuart D","Blacksell","SD",""
25806825,1,"Justine A","Assenga","JA","Department of Veterinary Medicine and Public Health, Sokoine University of Agriculture, Morogoro, Tanzania."
25806825,2,"Lucas E","Matemba","LE","Department of Veterinary Medicine and Public Health, Sokoine University of Agriculture, Morogoro, Tanzania; National Institute for Medical Research, Dar Es Salaam, Tanzania."
25806825,3,"Shabani K","Muller","SK","Department of Veterinary Medicine and Public Health, Sokoine University of Agriculture, Morogoro, Tanzania."
25806825,4,"Ginethon G","Mhamphi","GG","Pest Management Centre, Sokoine University of Agriculture, Morogoro, Tanzania."
25806825,5,"Rudovick R","Kazwala","RR","Department of Veterinary Medicine and Public Health, Sokoine University of Agriculture, Morogoro, Tanzania."
25807009,1,"Sarah J","Wynwood","SJ","Faculty of Science, Health and Education, University of the Sunshine Coast, Sippy Downs, Queensland, Australia; WHO/OIE/FAO Collaborating Centre for Reference and Research on Leptospirosis, Queensland Health Forensic and Scientific Services, Archerfield, Queensland, Australia."
25807009,2,"Mary-Anne A","Burns","MA","WHO/OIE/FAO Collaborating Centre for Reference and Research on Leptospirosis, Queensland Health Forensic and Scientific Services, Archerfield, Queensland, Australia."
25807009,3,"Glenn C","Graham","GC","Faculty of Science, Health and Education, University of the Sunshine Coast, Sippy Downs, Queensland, Australia; Chemical Analysis Unit, Queensland Health Forensic and Scientific Services, Archerfield, Queensland, Australia."
25807009,4,"Steven L","Weier","SL","School of Biomedical Sciences, Queensland University of Technology, Brisbane, Australia."
25807009,5,"David B","McKay","DB","Faculty of Science, Health and Education, University of the Sunshine Coast, Sippy Downs, Queensland, Australia."
25807009,6,"Scott B","Craig","SB","Faculty of Science, Health and Education, University of the Sunshine Coast, Sippy Downs, Queensland, Australia; WHO/OIE/FAO Collaborating Centre for Reference and Research on Leptospirosis, Queensland Health Forensic and Scientific Services, Archerfield, Queensland, Australia; School of Biomedical Sciences, Queensland University of Technology, Brisbane, Australia."
25809508,1,"Michel","Jancloes","M","Health and Climate Foundation, Washington, DC 20005, USA. michel.jancloes@gmail.com."
25809508,2,"Vidya","Anderson","V","Ministry of Health & Long-Term Care, 393 University Avenue, Toronto, ON M7A 2S1, Canada. vidya.anderson@ontario.ca."
25809508,3,"Pierre","Gosselin","P","Institut National de Santé Publique du Québec et Ouranos, 945 rue Wolfe, QC G1V 5B3, Canada. pierre.gosselin@inspq.qc.ca."
25809508,4,"Carol","Mee","C","Toronto Public Health, 277 Victoria Street, Toronto, ON M5B 1W2, Canada. cmee@toronto.ca."
25809508,5,"Nicholas J","Chong","NJ","Trinity College, 6 Hoskin Avenue, Toronto, ON M5S 1H8, Canada. nicholas.chong@mail.utoronto.ca."
25810615,1,"Vijay Kumar","Agrawal","VK","Department of Critical Care Medicine and Pulmonology, Metro Heart Institute with Multispeciality, Faridabad, Haryana, India."
25810615,2,"Abhishek","Bansal","A","Department of Critical Care Medicine and Pulmonology, Metro Heart Institute with Multispeciality, Faridabad, Haryana, India."
25810615,3,"Meenu","Pujani","M","Department of Critical Care Medicine and Pulmonology, Metro Heart Institute with Multispeciality, Faridabad, Haryana, India."
25812212,1,"M E","Hatem","ME",""
25812212,2,"A","Samir","A",""
25813883,1,"Senaka","Rajapakse","S","Department of Clinical Medicine, Faculty of Medicine, University of Colombo, Sri Lanka senaka@med.cmb.ac.lk."
25813883,2,"Chaturaka","Rodrigo","C","Department of Clinical Medicine, Faculty of Medicine, University of Colombo, Sri Lanka."
25813883,3,"Krishan","Balaji","K","Department of Clinical Medicine, Faculty of Medicine, University of Colombo, Sri Lanka."
25813883,4,"Sumadhya Deepika","Fernando","SD","Department of Parasitology, Faculty of Medicine, University of Colombo, Sri Lanka."
25818725,1,"Simone","Schuller","S","University College Dublin, School of Veterinary Medicine, Belfield, Dublin 4, Ireland; Vetsuisse Faculty University of Bern, Länggassstrasse 128, 3012 Bern, Switzerland. Electronic address: simone.schuller@vetsuisse.unibe.ch."
25818725,2,"Kjell","Sergeant","K","Luxembourg Institute of Science and Technology, Environmental Research and Innovation"" (ERIN) department, 41, rue du Brill, 4422 Belvaux, Luxembourg."
25818725,3,"Jenny","Renaut","J","Luxembourg Institute of Science and Technology, Environmental Research and Innovation"" (ERIN) department, 41, rue du Brill, 4422 Belvaux, Luxembourg."
25818725,4,"John J","Callanan","JJ","University College Dublin, School of Veterinary Medicine, Belfield, Dublin 4, Ireland; Conway Institute for Biomolecular & Biomedical Research, Belfield, Dublin 4, Ireland; Ross University School of Veterinary Medicine, St Kitts and Nevis, West Indies."
25818725,5,"Caitriona","Scaife","C","Conway Institute for Biomolecular & Biomedical Research, Belfield, Dublin 4, Ireland."
25818725,6,"Jarlath E","Nally","JE","University College Dublin, School of Veterinary Medicine, Belfield, Dublin 4, Ireland; Conway Institute for Biomolecular & Biomedical Research, Belfield, Dublin 4, Ireland; Bacterial Diseases of Livestock Research Unit, National Animal Disease Center, Agricultural Research Service, Department of Agriculture, Ames, IA 50010, USA."
25834144,1,"Luis G","Fernandes","LG","Centro de Biotecnologia, Instituto Butantan, Avenida Vital Brazil, 1500, São Paulo, SP 05503-900, Brazil Programa de Pós-Graduação Interunidades em Biotecnologia, Instituto de Ciências Biomédicas, USP, São Paulo 05508-900, Brazil."
25834144,2,"Zenaide M","de Morais","ZM","Laboratório de Zoonoses Bacterianas do VPS, Faculdade de MedicinaVeterinária e Zootecnia da Universidade de São Paulo, São Paulo 05508-270, Brazil."
25834144,3,"Silvio A","Vasconcellos","SA","Laboratório de Zoonoses Bacterianas do VPS, Faculdade de MedicinaVeterinária e Zootecnia da Universidade de São Paulo, São Paulo 05508-270, Brazil."
25834144,4,"Ana L T O","Nascimento","AL","Centro de Biotecnologia, Instituto Butantan, Avenida Vital Brazil, 1500, São Paulo, SP 05503-900, Brazil Programa de Pós-Graduação Interunidades em Biotecnologia, Instituto de Ciências Biomédicas, USP, São Paulo 05508-900, Brazil ana.nascimento@butantan.gov.br."
25835103,1,"B","de Sainte Marie","B","IHU Méditerranée Infection, Pôle des Maladies Infectieuses et Tropicales Clinique et Biologique, Service de Maladies Infectieuses et Tropicales, CHU Nord, Assistance Publique - Hôpitaux de Marseille, Chemin de Bourrelys, 13015 Marseille, France."
25835103,2,"M","Delord","M","IHU Méditerranée Infection, Pôle des Maladies Infectieuses et Tropicales Clinique et Biologique, Service de Maladies Infectieuses et Tropicales, CHU Nord, Assistance Publique - Hôpitaux de Marseille, Chemin de Bourrelys, 13015 Marseille, France."
25835103,3,"G","Dubourg","G","IHU Méditerranée Infection, Pôle des Maladies Infectieuses et Tropicales Clinique et Biologique, Laboratoire de Bactériologie, CHU Timone, Assistance Publique - Hôpitaux de Marseille, Chemin de Bourrelys, 13015 Marseille, France; Aix Marseille Université, URMITE, UM63, CNRS 7278, IRD 198, INSERM 1095, 13005 Marseille, France."
25835103,4,"P","Gautret","P","IHU Méditerranée Infection, Pôle des Maladies Infectieuses et Tropicales Clinique et Biologique, Service de Maladies Infectieuses et Tropicales, CHU Nord, Assistance Publique - Hôpitaux de Marseille, Chemin de Bourrelys, 13015 Marseille, France; Aix Marseille Université, URMITE, UM63, CNRS 7278, IRD 198, INSERM 1095, 13005 Marseille, France."
25835103,5,"P","Parola","P","IHU Méditerranée Infection, Pôle des Maladies Infectieuses et Tropicales Clinique et Biologique, Service de Maladies Infectieuses et Tropicales, CHU Nord, Assistance Publique - Hôpitaux de Marseille, Chemin de Bourrelys, 13015 Marseille, France; Aix Marseille Université, URMITE, UM63, CNRS 7278, IRD 198, INSERM 1095, 13005 Marseille, France."
25835103,6,"P","Brouqui","P","IHU Méditerranée Infection, Pôle des Maladies Infectieuses et Tropicales Clinique et Biologique, Service de Maladies Infectieuses et Tropicales, CHU Nord, Assistance Publique - Hôpitaux de Marseille, Chemin de Bourrelys, 13015 Marseille, France; Aix Marseille Université, URMITE, UM63, CNRS 7278, IRD 198, INSERM 1095, 13005 Marseille, France."
25835103,7,"J C","Lagier","JC","IHU Méditerranée Infection, Pôle des Maladies Infectieuses et Tropicales Clinique et Biologique, Service de Maladies Infectieuses et Tropicales, CHU Nord, Assistance Publique - Hôpitaux de Marseille, Chemin de Bourrelys, 13015 Marseille, France; Aix Marseille Université, URMITE, UM63, CNRS 7278, IRD 198, INSERM 1095, 13005 Marseille, France. Electronic address: jean-christophe.lagier@ap-hm.fr."
25849456,1,"Aline F","Teixeira","AF","Centro de Biotecnologia, Instituto Butantan, Sao Paulo, SP, Brazil; Programa de Pós-Graduação Interunidades em Biotecnologia,Instituto de Ciencias Biomedicas, Universidade de Sao Paulo, Sao Paulo, SP, Brazil."
25849456,2,"Zenaide M","de Morais","ZM","Laboratório de Zoonoses Bacterianas, Faculdade de Medicina Veterinária e Zootecnia, Universidade de Sao Paulo, Sao Paulo, SP, Brazil."
25849456,3,"Karin","Kirchgatter","K","Nucleo de Estudos em Malária, Superintendência de Controle de Endemias - Instituto de Medicina Tropical, Universidade de Sao Paulo, Sao Paulo, SP, Brazil."
25849456,4,"Eliete C","Romero","EC","Centro de Bacteriologia, Instituto Adolfo Lutz, Sao Paulo, Brazil."
25849456,5,"Silvio A","Vasconcellos","SA","Laboratório de Zoonoses Bacterianas, Faculdade de Medicina Veterinária e Zootecnia, Universidade de Sao Paulo, Sao Paulo, SP, Brazil."
25849456,6,"Ana Lucia T O","Nascimento","AL","Centro de Biotecnologia, Instituto Butantan, Sao Paulo, SP, Brazil; Programa de Pós-Graduação Interunidades em Biotecnologia,Instituto de Ciencias Biomedicas, Universidade de Sao Paulo, Sao Paulo, SP, Brazil."
25858306,1,"Laura M","García-Ramírez","LM",""
25858306,2,"Jasmin Y","Giraldo-Pulgarin","JY",""
25858306,3,"Nelly","Agudelo-Marín","N",""
25858306,4,"Yeimer A","Holguin-Rivera","YA",""
25858306,5,"Sebastián","Gómez-Sierra","S",""
25858306,6,"Paola V","Ortiz-Revelo","PV",""
25858306,7,"Néstor J","Velásquez-Bonilla","NJ",""
25858306,8,"Yohama","Caraballo-Arias","Y",""
25858306,9,"Alvaro","Mondragon-Cardona","A",""
25858306,10,"Carlos O","Lozada-Riascos","CO",""
25858306,11,"Alfonso J","Rodríguez-Morales","AJ","Committee on Zoonoses and Haemorrhagic Fevers, Asociacion Colombiana de Infectologia (ACIN), Bogota, DC, Colombia. arodriguezm@utp.edu.co."
25859456,1,"Tanvi","Panwala","T","Assistant Professor, Department of Microbiology, Government Medical College , Surat, India ."
25859456,2,"Sangeeta","Rajdev","S","Assistant Professor, Department of Microbiology, Government Medical College , Surat, India ."
25859456,3,"Summaiya","Mulla","S","Professor and Head, Department of Microbiology, Government Medical College , Surat, India ."
25870752,1,"Safar Ali","Alizadeh","SA","Department of Pathobiology, School of Public Health and Institute of Public Health Research, Tehran University of Medical Sciences, Tehran, Iran."
25870752,2,"Gholamreza","Abdolahpour","G","Faculty of Veterinary Medicine, University of Tehran."
25870752,3,"Mohammad Reza","Pourmand","MR","Department of Pathobiology, School of Public Health and Institute of Public Health Research, Tehran University of Medical Sciences, Tehran, Iran."
25870752,4,"Taghi","Naserpour","T","Department of Microbiology, Qazvin University of Medical Sciences, Qazvin, Iran ; Cell and Molecular Research Center, Qazvin University of Medical Sciences, Qazvin, Iran."
25870752,5,"Reza","Najafipour","R","Cell and Molecular Research Center, Qazvin University of Medical Sciences, Qazvin, Iran ; Department of Biochemistry, Qazvin University of Medical Sciences, Qazvin, Iran."
25870752,6,"Seyyed Saeed","Eshraghi","SS","Department of Pathobiology, School of Public Health and Institute of Public Health Research, Tehran University of Medical Sciences, Tehran, Iran."
25874381,1,"Maherisoa","Ratsitorahina","M","Epidemiology Unit, Pasteur Institute of Madagascar, BP 1274, Antananarivo, Madagascar."
25874381,2,"Soanandrasana","Rahelinirina","S","Plague Unit, Pasteur Institute of Madagascar, BP 1274, Antananarivo, Madagascar."
25874381,3,"Alain","Michault","A","Biology, Virology and Parasitology Units, Centre Hospitalier Universitaire (CHU Sud), St. Pierre, Reunion Island, France."
25874381,4,"Minoarisoa","Rajerison","M","Plague Unit, Pasteur Institute of Madagascar, BP 1274, Antananarivo, Madagascar."
25874381,5,"Soatiana","Rajatonirina","S","Epidemiology Unit, Pasteur Institute of Madagascar, BP 1274, Antananarivo, Madagascar."
25874381,6,"Vincent","Richard","V","Epidemiology Unit, Pasteur Institute of Madagascar, BP 1274, Antananarivo, Madagascar; Epidemiology Unit, Pasteur Institute of Dakar, BP 220, Dakar, Senegal."
25875373,1,"Gregory T","Robbins","GT","Medical College of Wisconsin, Milwaukee, Wisconsin, United States of America."
25875373,2,"Beth L","Hahn","BL","Division of Infectious Diseases, Department of Medicine, Medical College of Wisconsin, Milwaukee, Wisconsin, United States of America."
25875373,3,"Karen V","Evangelista","KV","Graduate Program in Microbiology, Immunology, and Molecular Genetics, Medical College of Wisconsin, Milwaukee, Wisconsin, United States of America."
25875373,4,"Lavinia","Padmore","L","Division of Infectious Diseases, Department of Medicine, Medical College of Wisconsin, Milwaukee, Wisconsin, United States of America."
25875373,5,"Patrick S","Aranda","PS","Medical College of Wisconsin, Milwaukee, Wisconsin, United States of America."
25875373,6,"Jenifer","Coburn","J","Division of Infectious Diseases, Department of Medicine, Medical College of Wisconsin, Milwaukee, Wisconsin, United States of America; Graduate Program in Microbiology, Immunology, and Molecular Genetics, Medical College of Wisconsin, Milwaukee, Wisconsin, United States of America."
25878254,1,"Meta","Michels","M","Department of Internal Medicine, Radboud University Medical Center, Nijmegen, The Netherlands Meta.Michels@radboudumc.nl."
25878254,2,"Quirijn","de Mast","Q","Department of Internal Medicine, Radboud University Medical Center, Nijmegen, The Netherlands."
25878254,3,"Mihai G","Netea","MG","Department of Internal Medicine, Radboud University Medical Center, Nijmegen, The Netherlands."
25878254,4,"Leo A","Joosten","LA","Department of Internal Medicine, Radboud University Medical Center, Nijmegen, The Netherlands."
25878254,5,"Charles A","Dinarello","CA","Department of Internal Medicine, Radboud University Medical Center, Nijmegen, The Netherlands."
25878254,6,"Pandji I F","Rudiman","PI","Department of Internal Medicine, Faculty of Medicine, University of Padjadjaran, Bandung, Indonesia."
25878254,7,"Sylvia","Sinarta","S","Department of Internal Medicine, Faculty of Medicine, University of Padjadjaran, Bandung, Indonesia."
25878254,8,"Rudi","Wisaksana","R","Department of Internal Medicine, Faculty of Medicine, University of Padjadjaran, Bandung, Indonesia."
25878254,9,"Bachti","Alisjahbana","B","Department of Internal Medicine, Faculty of Medicine, University of Padjadjaran, Bandung, Indonesia."
25878254,10,"André J A M","van der Ven","AJ","Department of Internal Medicine, Radboud University Medical Center, Nijmegen, The Netherlands."
25880767,1,"Peter J","Hotez","PJ","Sabin Vaccine Institute and Texas Children's Hospital Center for Vaccine Development, Departments of Pediatrics and Molecular Virology and Microbiology, National School of Tropical Medicine, Baylor College of Medicine, Houston, Texas, United States of America; Department of Biology, Baylor University, Waco, Texas, United States of America; James A. Baker III Institute for Public Policy, Rice University, Houston, Texas, United States of America."
25880767,2,"Maria Elena","Bottazzi","ME","Sabin Vaccine Institute and Texas Children's Hospital Center for Vaccine Development, Departments of Pediatrics and Molecular Virology and Microbiology, National School of Tropical Medicine, Baylor College of Medicine, Houston, Texas, United States of America; Department of Biology, Baylor University, Waco, Texas, United States of America."
25880767,3,"Ulrich","Strych","U","Sabin Vaccine Institute and Texas Children's Hospital Center for Vaccine Development, Departments of Pediatrics and Molecular Virology and Microbiology, National School of Tropical Medicine, Baylor College of Medicine, Houston, Texas, United States of America."
25880767,4,"Li-Yen","Chang","LY","Tropical Infectious Diseases Research and Education Centre, Department of Medical Microbiology, University of Malaya, Kuala Lumpur, Malaysia."
25880767,5,"Yvonne A L","Lim","YA","Department of Parasitology, University of Malaya, Kuala Lumpur, Malaysia."
25880767,6,"Maureen M","Goodenow","MM","Department of Pathology, Immunology, and Laboratory Medicine, University of Florida, College of Medicine, Gainesville, Florida, United States of America."
25880767,7,"Sazaly","AbuBakar","S","Tropical Infectious Diseases Research and Education Centre, Department of Medical Microbiology, University of Malaya, Kuala Lumpur, Malaysia."
25880871,1,"Maud","Lelu","M","Division of Epidemiology and Community Health, School of Public Health, University of Minnesota, 1300 S. Second st. Suite 300, Minneapolis, MN, 55454, USA. maud.lelu@gmail.com."
25880871,2,"Claudia","Muñoz-Zanzi","C","Division of Epidemiology and Community Health, School of Public Health, University of Minnesota, 1300 S. Second st. Suite 300, Minneapolis, MN, 55454, USA. munozzan@umn.edu."
25880871,3,"Brooke","Higgins","B","Division of Epidemiology and Community Health, School of Public Health, University of Minnesota, 1300 S. Second st. Suite 300, Minneapolis, MN, 55454, USA. higgi157@umn.edu."
25880871,4,"Renee","Galloway","R","Institute of Pathology, Austral University of Chile, Campus Isla Teja, Valdivia, Chile. zul0@cdc.gov."
25884600,1,"Jagath","Pushpakumara","J","Ward 01, Colombo South Teaching Hospital, Kalubowila, Sri Lanka. jagathsltt@yahoo.com."
25884600,2,"Thushanthy","Prasath","T","Ward 01, Colombo South Teaching Hospital, Kalubowila, Sri Lanka. thushanthy.prasath@gmail.com."
25884600,3,"Ganaja","Samarajiwa","G","Ward 01, Colombo South Teaching Hospital, Kalubowila, Sri Lanka. ganaja007@yahoo.co.uk."
25884600,4,"Sugandika","Priyadarshani","S","Ward 01, Colombo South Teaching Hospital, Kalubowila, Sri Lanka. sugandika23@gmail.com."
25884600,5,"Nilanka","Perera","N","Department of Medicine, Faculty of Medical Sciences, University of Sri Jayewardenepura, Kalubowila, Sri Lanka. nilanka.dushani@gmail.com."
25884600,6,"Jegarajah","Indrakumar","J","Department of Medicine, Faculty of Medical Sciences, University of Sri Jayewardenepura, Kalubowila, Sri Lanka. indrak2004@gmail.com."
25888965,1,"Miguel","Salgado","M","Department of Biochemistry and Microbiology, Faculty of Sciences, Universidad Austral de Chile, Edificio Instapanel, Campus Isla Teja, CC 567, Valdivia, Chile. miguelsalgado@uach.cl."
25888965,2,"Barbara","Otto","B","Department of Biochemistry and Microbiology, Faculty of Sciences, Universidad Austral de Chile, Edificio Instapanel, Campus Isla Teja, CC 567, Valdivia, Chile. barbaraotto@uach.cl."
25888965,3,"Manuel","Moroni","M","Department of Animal Pathology, Faculty of Veterinary Sciences, Universidad Austral de Chile, Valdivia, Chile. manuelmoroni@uach.cl."
25888965,4,"Errol","Sandoval","E","Department of Biochemistry and Microbiology, Faculty of Sciences, Universidad Austral de Chile, Edificio Instapanel, Campus Isla Teja, CC 567, Valdivia, Chile. errolsandoval@hotmail.com."
25888965,5,"German","Reinhardt","G","Department of Biochemistry and Microbiology, Faculty of Sciences, Universidad Austral de Chile, Edificio Instapanel, Campus Isla Teja, CC 567, Valdivia, Chile. greinhar@uach.cl."
25888965,6,"Sofia","Boqvist","S","Department of Biomedical Sciences and Veterinary Public Health, Swedish University of Agricultural Sciences, Box 7028, SE-750 07, Uppsala, Sweden. Sofia.Boqvist@slu.se."
25888965,7,"Carolina","Encina","C","Department of Biochemistry and Microbiology, Faculty of Sciences, Universidad Austral de Chile, Edificio Instapanel, Campus Isla Teja, CC 567, Valdivia, Chile. carolina.encina.o@gmail.com."
25888965,8,"Claudia","Muñoz-Zanzi","C","Division of Epidemiology and Community Health, School of Public Health, University of Minnesota, Minneapolis, Minnesota, USA. munozzan@umn.edu."
25890990,1,"Mitsumasa","Saito","M","Department of Bacteriology, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan."
25890990,2,"Sharon Y A M","Villanueva","SY","Department of Bacteriology, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan."
25890990,3,"Toshiyuki","Masuzawa","T","Laboratory of Microbiology and Immunology, Faculty of Pharmaceutical Sciences, Chiba Institute of Science, Choshi, Chiba, Japan."
25890990,4,"Yusuke","Haraguchi","Y","Department of Bacteriology, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan."
25890990,5,"Shuhei","Ita","S","Department of Bacteriology, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan."
25890990,6,"Satoshi","Miyahara","S","Department of Bacteriology, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan."
25890990,7,"Ryo","Ozuru","R","Department of Bacteriology, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan."
25890990,8,"Takayoshi","Yamaguchi","T","Department of Bacteriology, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan."
25890990,9,"Michinobu","Yoshimura","M","Department of Bacteriology, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan."
25890990,10,"Mami","Ikejiri","M","Department of Bacteriology, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan."
25890990,11,"Natsumi","Aramaki","N","Department of Bacteriology, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan."
25890990,12,"Muhammad Yunus","Amran","MY","Department of Bacteriology, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan."
25890990,13,"Lisa Tenriesa","Muslich","LT","Department of Bacteriology, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan."
25890990,14,"Ken-ichiro","Iida","K","Department of Bacteriology, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan."
25890990,15,"Yasutake","Yanagihara","Y","Laboratory of Microbiology and Immunology, Faculty of Pharmaceutical Sciences, Chiba Institute of Science, Choshi, Chiba, Japan."
25890990,16,"Nina G","Gloriani","NG","Department of Medical Microbiology, College of Public Health, University of the Philippines-Manila, Ermita, Manila, Philippines."
25890990,17,"Shin-ichi","Yoshida","S","Department of Bacteriology, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan."
25899947,1,"Loic","Raffray","L","Immunopathology and Infection Research Grouping (IRG), EA4517, UMR PIMIT, Université de la Réunion, Processus Infectieux en Milieu Insulaire Tropical, INSERM 1187, CNRS 9192, IRD 249, 97405 St Denis Cedex, La Réunion, France; Internal Medicine and Dermatology Unit, CHU Félix Guyon, St Denis, 97400 La Reunion, France. Electronic address: loic.raffray@chu-reunion.fr."
25899947,2,"Claude","Giry","C","Immunopathology and Infection Research Grouping (IRG), EA4517, UMR PIMIT, Université de la Réunion, Processus Infectieux en Milieu Insulaire Tropical, INSERM 1187, CNRS 9192, IRD 249, 97405 St Denis Cedex, La Réunion, France; Microbiology/Virology Laboratory, Félix Guyon University Hospital of La Reunion, 97400 St Denis, La Reunion, France."
25899947,3,"Yoga","Thirapathi","Y","Internal Medicine Unit, GHER Hospital, 97470 St Benoit, La Reunion, France."
25899947,4,"François","Binois","F","Internal Medicine Unit, GHER Hospital, 97470 St Benoit, La Reunion, France."
25899947,5,"Marie-Pierre","Moiton","MP","Infectious Disease Unit, CHU Félix Guyon, 97400 St Denis, La Reunion, France."
25899947,6,"Marie","Lagrange-Xelot","M","Infectious Disease Unit, CHU Félix Guyon, 97400 St Denis, La Reunion, France."
25899947,7,"Dominique","Ferrandiz","D","Internal Medicine and Dermatology Unit, CHU Félix Guyon, St Denis, 97400 La Reunion, France."
25899947,8,"Marie-Christine","Jaffar-Bandjee","MC","Immunopathology and Infection Research Grouping (IRG), EA4517, UMR PIMIT, Université de la Réunion, Processus Infectieux en Milieu Insulaire Tropical, INSERM 1187, CNRS 9192, IRD 249, 97405 St Denis Cedex, La Réunion, France; Microbiology/Virology Laboratory, Félix Guyon University Hospital of La Reunion, 97400 St Denis, La Reunion, France."
25899947,9,"Philippe","Gasque","P","Immunopathology and Infection Research Grouping (IRG), EA4517, UMR PIMIT, Université de la Réunion, Processus Infectieux en Milieu Insulaire Tropical, INSERM 1187, CNRS 9192, IRD 249, 97405 St Denis Cedex, La Réunion, France."
25912810,1,"Renee L","Galloway","RL","Bacterial Special Pathogens Branch, Division of High-Consequence Pathogens and Pathology, Centers for Disease Control and Prevention, 1600 Clifton Road NE, Atlanta, GA, USA. Electronic address: rgalloway@cdc.gov."
25912810,2,"Alex R","Hoffmaster","AR","Bacterial Special Pathogens Branch, Division of High-Consequence Pathogens and Pathology, Centers for Disease Control and Prevention, 1600 Clifton Road NE, Atlanta, GA, USA."
25914944,1,"Mônica Larucci","Vieira","ML","a Centro de Biotecnologia, Instituto Butantan , Sao Paulo , Brazil."
25914944,2,"Ana Lucia T O","Nascimento","AL","a Centro de Biotecnologia, Instituto Butantan , Sao Paulo , Brazil."
25937611,1,"Jason R","Andrews","JR","Division of Infectious Diseases and Geographic Medicine, Stanford University School of Medicine, 300 Pasteur Drive, Stanford, CA 94305, United States. Electronic address: jandr@stanford.edu."
25937611,2,"Edward T","Ryan","ET","Division of Infectious Diseases, Massachusetts General Hospital, Harvard Medical School, 55 Fruit Street, Boston, MA 02114, United States. Electronic address: etryan@mgh.harvard.edu."
25947044,1,"Hiroki","Saitoh","H","Division of Emerging Infectious Diseases, Department of Internal Medicine, Graduate School of Medicine, Tohoku University."
25947044,2,"Nobuo","Koizumi","N",""
25947044,3,"Junji","Seto","J",""
25947044,4,"Satoshi","Ajitsu","S",""
25947044,5,"Akio","Fujii","A",""
25947044,6,"Satoshi","Takasaki","S",""
25947044,7,"Shu","Yamakage","S",""
25947044,8,"Satoshi","Aoki","S",""
25947044,9,"Keisuke","Nakayama","K",""
25947044,10,"Yugo","Ashino","Y",""
25947044,11,"Haorile","Chagan-Yasutan","H",""
25947044,12,"Hideyasu","Kiyomoto","H",""
25947044,13,"Toshio","Hattori","T",""
25955522,1,"Beatrice","Chipwaza","B","Nelson Mandela African Institution of Science and Technology, Arusha, Tanzania; Ifakara Health Institute, Ifakara, Tanzania."
25955522,2,"Ginethon G","Mhamphi","GG","Sokoine University of Agriculture, Pest Management Center, Chuo Kikuu, Morogoro, Tanzania."
25955522,3,"Steve D","Ngatunga","SD","National Institute for Medical Research, Morogoro, Tanzania."
